Mean_Intensity,Edge_Density,Motion_Mag,Entropy,Temp_C,Vib_RMS,Motion_Flag,Class_Label,Importance_Score,Decision_Label
0.408,0.518,0.378,2.963,31.78,0.695,0,0,0.383,0
0.584,0.38,0.223,3.93,30.08,0.249,0,4,0.141,4
0.376,0.424,0.686,1.605,28.43,0.515,1,2,0.28,4
0.131,0.606,0.718,1.066,27.96,0.22,0,0,0.748,5
0.572,0.284,0.275,3.24,32.58,0.277,0,1,0.344,6
0.221,0.222,0.789,4.648,34.48,0.417,0,4,0.208,3
0.255,0.635,0.855,0.966,29.99,0.347,0,4,0.108,1
0.199,0.563,0.921,2.442,31.51,0.481,1,3,0.348,0
0.298,0.217,0.161,3.919,33.07,0.607,0,3,0.643,0
0.554,0.307,0.304,1.414,26.58,0.484,1,4,0.253,0
0.412,0.276,0.86,1.909,29.51,0.776,0,1,0.422,1
0.223,0.105,0.199,3.317,33.3,0.59,1,0,0.952,4
0.627,0.623,0.003,5.28,32.85,0.788,0,3,0.552,5
0.628,0.269,0.871,2.151,26.53,0.595,1,0,0.532,4
0.622,0.57,0.326,3.091,28.38,0.406,1,1,0.41,0
0.243,0.131,0.414,2.68,32.8,0.329,1,0,0.557,5
0.371,0.361,0.446,5.018,28.71,0.589,1,4,0.985,5
0.691,0.025,0.848,1.138,34.14,0.55,0,3,0.254,1
0.563,0.499,0.338,3.461,26.3,0.535,1,1,0.942,1
0.116,0.382,0.892,4.777,27.9,0.577,0,4,0.149,3
0.139,0.41,0.617,5.444,28.81,0.698,0,1,0.111,3
0.378,0.043,0.527,4.084,35.25,0.182,0,3,0.655,4
0.646,0.145,0.326,2.586,33.96,0.452,0,0,0.251,4
0.423,0.058,0.244,2.736,34.84,0.483,0,1,0.444,6
0.399,0.195,0.624,2.453,30.4,0.234,1,3,0.73,4
0.163,0.412,0.447,3.637,34.23,0.79,0,4,0.535,0
0.494,0.372,0.911,4.275,34.53,0.628,1,3,0.014,0
0.593,0.402,0.492,4.651,30.0,0.257,0,0,0.306,3
0.328,0.362,0.512,2.758,35.94,0.287,0,3,0.065,4
0.565,0.185,0.417,4.169,34.51,0.575,1,4,0.926,4
0.679,0.166,0.789,5.106,35.74,0.009,0,4,0.795,6
0.222,0.098,0.425,5.128,34.66,0.371,1,1,0.984,3
0.414,0.553,0.269,4.109,33.76,0.274,0,4,0.885,5
0.272,0.405,0.862,3.793,35.44,0.683,1,2,0.475,0
0.576,0.129,0.597,3.298,30.2,0.633,0,4,0.883,0
0.447,0.123,0.592,1.661,33.83,0.266,1,0,0.672,3
0.481,0.569,0.611,1.381,28.13,0.692,1,4,0.525,5
0.579,0.485,0.719,3.083,33.33,0.731,1,1,0.371,1
0.338,0.432,0.313,1.549,33.85,0.442,0,4,0.681,2
0.649,0.27,0.034,3.512,33.17,0.127,1,3,0.59,2
0.42,0.178,0.811,3.835,34.5,0.616,0,3,0.614,3
0.195,0.637,0.129,3.27,30.13,0.255,1,3,0.4,6
0.518,0.52,0.722,0.971,31.45,0.422,0,2,0.739,1
0.576,0.203,0.082,1.071,26.11,0.036,0,1,0.081,3
0.29,0.552,0.375,1.333,27.46,0.4,0,3,0.726,4
0.614,0.496,0.063,1.522,32.44,0.304,0,3,0.731,1
0.644,0.2,0.522,5.452,31.62,0.549,1,3,0.516,4
0.266,0.283,0.653,2.419,27.97,0.033,1,1,0.263,3
0.69,0.129,0.171,2.172,28.43,0.5,1,3,0.519,5
0.184,0.081,0.372,1.046,29.44,0.618,1,2,0.123,5
0.221,0.473,0.93,3.786,33.16,0.01,0,3,0.285,5
0.211,0.181,0.442,3.865,32.1,0.6,1,0,0.421,5
0.636,0.535,0.803,1.625,26.7,0.104,0,2,0.673,0
0.493,0.647,0.927,5.12,33.6,0.558,1,0,0.187,4
0.191,0.059,0.974,4.562,28.63,0.364,0,3,0.158,0
0.364,0.313,0.898,1.883,32.72,0.442,0,3,0.608,0
0.469,0.523,0.317,3.083,27.23,0.27,0,1,0.68,3
0.15,0.515,0.963,2.954,35.98,0.196,0,0,0.084,3
0.629,0.496,0.812,2.438,26.8,0.057,0,0,0.033,6
0.582,0.233,0.837,4.643,33.42,0.692,0,4,0.147,2
0.403,0.3,0.015,1.314,31.41,0.488,0,4,0.901,5
0.68,0.391,0.954,2.752,26.86,0.786,0,4,0.673,4
0.351,0.633,0.778,2.812,26.27,0.68,1,4,0.921,0
0.69,0.22,0.768,3.003,29.63,0.696,0,0,0.665,5
0.501,0.601,0.082,4.848,34.02,0.478,1,1,0.965,5
0.481,0.182,0.233,1.825,26.41,0.065,1,4,0.439,5
0.2,0.643,0.962,1.284,33.04,0.731,0,0,0.599,4
0.629,0.439,0.501,3.704,32.55,0.094,1,1,0.601,4
0.356,0.307,0.398,1.617,28.66,0.414,1,1,0.003,3
0.197,0.403,0.84,1.152,26.77,0.685,1,4,0.027,4
0.108,0.184,0.087,2.805,35.15,0.378,0,0,0.145,2
0.436,0.185,0.417,1.832,29.0,0.133,1,2,0.511,1
0.416,0.083,0.376,2.498,27.11,0.299,0,0,0.431,0
0.532,0.083,0.35,2.021,32.82,0.791,0,1,0.54,1
0.634,0.233,0.308,1.235,28.17,0.8,1,3,0.8,6
0.148,0.498,0.21,3.434,30.76,0.569,0,4,0.822,1
0.539,0.399,0.173,0.927,26.5,0.71,1,1,0.977,0
0.212,0.076,0.64,5.342,35.93,0.035,0,2,0.558,1
0.615,0.555,0.919,2.404,30.48,0.221,1,2,0.347,4
0.591,0.395,0.509,4.067,35.99,0.295,0,2,0.308,3
0.424,0.625,0.298,4.609,29.86,0.01,1,2,0.341,2
0.526,0.439,0.159,2.112,29.48,0.302,1,0,0.324,2
0.289,0.122,0.83,4.319,35.15,0.074,0,1,0.393,4
0.383,0.313,0.971,4.712,29.29,0.414,1,2,0.075,3
0.593,0.425,0.349,1.934,30.32,0.004,0,1,0.633,6
0.376,0.028,0.291,5.465,26.78,0.216,0,1,0.568,3
0.315,0.02,0.601,0.897,35.55,0.693,0,3,0.462,1
0.397,0.093,0.775,1.82,26.85,0.17,0,0,0.081,2
0.597,0.171,0.455,4.466,33.71,0.052,1,3,0.093,2
0.301,0.285,0.63,1.712,31.39,0.2,1,4,0.545,6
0.204,0.322,0.717,4.082,26.61,0.662,1,4,0.037,2
0.527,0.098,0.961,4.821,26.02,0.47,1,4,0.725,0
0.596,0.441,0.165,5.308,35.36,0.469,0,3,0.994,2
0.16,0.392,0.997,3.029,33.42,0.0,0,1,0.597,0
0.244,0.198,0.392,5.364,32.86,0.378,0,4,0.723,4
0.185,0.019,0.723,2.735,30.39,0.212,1,4,0.439,0
0.309,0.06,0.572,1.825,28.39,0.269,1,3,0.667,5
0.37,0.261,0.487,3.215,32.8,0.479,0,1,0.652,5
0.549,0.109,0.698,3.854,32.08,0.699,0,4,0.824,0
0.491,0.251,0.396,2.952,33.26,0.145,0,0,0.711,3
0.473,0.412,0.126,3.465,29.66,0.615,0,4,0.749,1
0.311,0.36,0.489,2.757,35.87,0.039,0,3,0.557,6
0.605,0.158,0.522,3.266,26.67,0.261,0,3,0.485,3
0.383,0.23,0.202,5.277,26.8,0.175,1,0,0.459,5
0.687,0.403,0.936,3.149,35.17,0.732,1,1,0.392,2
0.48,0.561,0.227,1.99,32.48,0.142,0,0,0.266,3
0.176,0.492,0.409,4.366,29.26,0.463,1,4,0.033,1
0.506,0.364,0.155,2.387,33.62,0.132,1,3,0.671,0
0.295,0.242,0.536,4.636,30.53,0.379,1,1,0.901,0
0.512,0.244,0.308,1.067,26.21,0.331,1,4,0.93,5
0.142,0.573,0.489,2.361,32.51,0.033,0,0,0.581,6
0.205,0.035,0.225,1.243,28.43,0.661,0,4,0.094,6
0.613,0.642,0.054,1.201,27.15,0.624,1,0,0.879,4
0.236,0.435,0.779,3.894,28.25,0.222,0,2,0.748,6
0.602,0.446,0.641,2.611,30.76,0.491,1,2,0.251,4
0.268,0.034,0.341,4.896,26.5,0.29,0,3,0.804,1
0.486,0.398,0.047,3.227,34.83,0.615,0,1,0.472,1
0.516,0.32,0.866,2.188,31.6,0.554,1,3,0.888,3
0.408,0.078,0.17,4.188,28.93,0.072,0,4,0.248,1
0.283,0.188,0.931,3.733,32.87,0.675,0,2,0.801,3
0.228,0.58,0.479,4.558,34.04,0.144,0,3,0.712,4
0.12,0.362,0.34,3.825,32.14,0.139,1,0,0.014,3
0.282,0.275,0.742,1.585,28.02,0.587,1,1,0.563,5
0.492,0.057,0.877,3.95,27.1,0.147,1,2,0.716,3
0.663,0.467,0.371,2.64,34.6,0.098,0,1,0.156,6
0.623,0.46,0.407,2.977,28.35,0.268,0,1,0.532,4
0.56,0.403,0.433,5.131,26.2,0.671,1,2,0.304,2
0.573,0.337,0.922,2.492,32.43,0.141,1,0,0.696,1
0.499,0.288,0.693,3.676,27.53,0.271,1,0,0.54,0
0.256,0.39,0.248,2.508,35.91,0.229,1,0,0.621,4
0.644,0.159,0.185,1.245,34.7,0.285,0,1,0.073,3
0.502,0.612,0.23,2.932,32.08,0.571,0,0,0.138,0
0.436,0.387,0.264,3.606,34.34,0.324,0,4,0.552,1
0.167,0.209,0.23,2.715,30.71,0.608,0,4,0.181,0
0.368,0.298,0.659,2.636,33.88,0.512,1,0,0.499,0
0.376,0.526,0.116,4.656,32.47,0.289,1,0,0.69,5
0.619,0.113,0.387,0.94,26.29,0.346,1,2,0.81,1
0.428,0.197,0.625,2.189,35.49,0.563,0,2,0.143,3
0.328,0.445,0.291,4.615,34.61,0.428,1,3,0.742,3
0.686,0.212,0.065,5.126,35.53,0.695,1,1,0.363,2
0.166,0.517,0.082,2.738,33.31,0.747,1,1,0.679,6
0.354,0.093,0.126,4.977,30.12,0.574,0,2,0.145,3
0.125,0.498,0.836,1.735,28.07,0.791,1,4,0.515,2
0.544,0.054,0.658,1.841,27.8,0.477,1,3,0.838,4
0.651,0.018,0.065,4.777,27.45,0.032,0,2,0.106,1
0.268,0.585,0.391,5.045,28.21,0.404,0,3,0.828,6
0.615,0.382,0.279,1.847,31.51,0.184,1,1,0.453,2
0.275,0.235,0.578,1.079,32.84,0.267,1,1,0.823,1
0.646,0.159,0.523,1.225,29.14,0.392,1,1,0.958,0
0.552,0.405,0.481,2.028,31.49,0.236,0,4,0.16,1
0.583,0.336,0.315,4.379,29.41,0.248,0,2,0.675,1
0.111,0.645,0.138,3.197,32.97,0.322,1,3,0.235,1
0.678,0.639,0.742,2.941,35.88,0.229,0,2,0.136,0
0.536,0.416,0.88,3.545,32.89,0.136,0,1,0.628,6
0.283,0.293,0.944,4.984,26.59,0.612,0,1,0.108,3
0.598,0.324,0.059,1.225,30.77,0.316,1,2,0.465,2
0.269,0.447,0.74,4.065,33.7,0.665,0,0,0.636,4
0.624,0.075,0.727,5.156,31.42,0.706,0,0,0.5,1
0.168,0.22,0.947,1.803,35.51,0.601,1,2,0.697,1
0.522,0.058,0.253,4.738,26.55,0.317,0,1,0.801,2
0.424,0.057,0.742,4.081,28.91,0.577,1,3,0.872,2
0.158,0.135,0.055,0.868,28.21,0.124,0,0,0.56,5
0.245,0.321,0.631,1.889,33.68,0.529,1,2,0.277,0
0.107,0.512,0.351,3.647,31.24,0.325,0,4,0.51,2
0.381,0.321,0.769,3.161,27.38,0.525,0,2,0.388,0
0.281,0.225,0.863,3.281,28.86,0.604,0,1,0.226,3
0.459,0.063,0.365,1.89,31.23,0.45,0,2,0.529,0
0.278,0.362,0.526,3.973,35.96,0.514,1,0,0.023,1
0.28,0.184,0.117,2.052,29.64,0.171,0,0,0.606,4
0.546,0.404,0.417,2.63,27.57,0.474,0,2,0.822,1
0.129,0.635,0.361,2.534,30.97,0.368,0,3,0.999,0
0.642,0.081,0.183,3.959,29.1,0.342,1,2,0.922,6
0.611,0.146,0.894,1.224,31.66,0.328,0,3,0.09,5
0.501,0.313,0.148,1.766,30.67,0.249,0,0,0.162,1
0.456,0.63,0.636,1.742,32.89,0.244,0,4,0.139,5
0.635,0.504,0.89,1.31,35.14,0.56,1,3,0.558,3
0.211,0.585,0.912,1.776,28.01,0.446,0,2,0.046,5
0.147,0.224,0.793,3.653,34.21,0.024,1,1,0.937,6
0.244,0.645,0.176,4.241,35.49,0.039,0,1,0.062,5
0.577,0.076,0.817,3.903,29.74,0.456,0,2,0.391,3
0.121,0.044,0.277,3.033,27.14,0.677,1,0,0.894,5
0.45,0.558,0.922,1.046,34.22,0.035,0,0,0.948,6
0.697,0.603,0.709,5.307,33.01,0.406,1,0,0.465,4
0.613,0.068,0.785,1.59,28.13,0.681,1,2,0.488,6
0.413,0.083,0.085,3.942,30.45,0.004,1,1,0.636,4
0.138,0.031,0.583,5.091,31.78,0.221,0,4,0.408,3
0.599,0.077,0.821,4.08,27.7,0.736,0,1,0.325,3
0.459,0.144,0.862,1.825,33.15,0.065,1,0,0.739,5
0.169,0.631,0.029,2.284,32.9,0.486,0,2,0.595,1
0.156,0.437,0.939,0.942,34.87,0.406,1,2,0.482,3
0.646,0.508,0.043,3.68,31.67,0.121,0,4,0.101,0
0.502,0.507,0.615,3.681,31.74,0.034,1,1,0.069,1
0.598,0.352,0.693,4.21,32.19,0.402,1,0,0.511,6
0.627,0.52,0.107,0.852,28.74,0.588,0,4,0.619,2
0.443,0.391,0.048,4.644,33.59,0.142,1,0,0.658,6
0.41,0.211,0.785,4.272,32.62,0.553,1,1,0.895,4
0.358,0.369,0.385,1.462,34.39,0.437,0,4,0.816,4
0.29,0.351,0.107,2.434,33.69,0.286,0,0,0.141,4
0.361,0.537,0.763,3.801,32.39,0.532,0,3,0.794,1
0.564,0.638,0.849,3.13,27.61,0.154,1,2,0.676,3
0.461,0.273,0.587,1.341,35.19,0.366,0,1,0.828,0
0.636,0.499,0.161,1.211,29.67,0.439,1,2,0.843,2
0.366,0.074,0.015,4.473,35.64,0.367,0,0,0.346,4
0.464,0.507,0.701,1.533,30.02,0.318,0,4,0.263,6
0.479,0.248,0.55,1.609,27.46,0.593,0,0,0.553,1
0.455,0.035,0.651,4.705,34.85,0.525,1,3,0.299,0
0.522,0.242,0.813,3.677,33.95,0.512,0,3,0.35,3
0.242,0.401,0.434,3.642,33.86,0.713,1,1,0.069,2
0.407,0.086,0.125,3.053,26.89,0.795,0,2,0.991,6
0.163,0.601,0.94,3.474,34.79,0.454,0,0,0.309,4
0.331,0.06,0.545,3.628,31.96,0.279,0,3,0.78,3
0.393,0.605,0.615,5.349,30.7,0.623,0,4,0.993,1
0.491,0.463,0.933,1.848,35.13,0.114,0,0,0.969,4
0.67,0.221,0.932,1.808,32.66,0.41,0,1,0.634,1
0.46,0.26,0.572,1.069,27.33,0.42,1,4,0.539,3
0.546,0.484,0.298,3.894,31.2,0.787,1,2,0.309,2
0.404,0.395,0.997,3.38,32.37,0.793,1,1,0.862,4
0.48,0.44,0.681,1.323,34.99,0.639,1,2,0.338,4
0.143,0.259,0.408,2.513,28.8,0.378,1,2,0.107,6
0.253,0.322,0.56,1.64,33.94,0.438,1,3,0.294,5
0.317,0.644,0.416,2.358,34.0,0.256,0,2,0.315,0
0.383,0.147,0.888,5.271,27.28,0.664,0,4,0.718,4
0.127,0.277,0.482,4.012,26.17,0.597,0,4,0.17,0
0.184,0.197,0.824,0.836,31.81,0.617,1,4,0.317,3
0.266,0.5,0.84,1.987,33.89,0.111,1,0,0.077,5
0.683,0.499,0.824,0.849,31.54,0.319,0,3,0.848,3
0.299,0.197,0.722,4.16,34.13,0.43,1,3,0.725,6
0.389,0.062,0.855,3.006,32.22,0.1,1,4,0.437,2
0.218,0.017,0.387,5.472,32.53,0.295,0,0,0.43,3
0.466,0.284,0.115,4.248,26.28,0.07,1,2,0.166,2
0.268,0.273,0.842,3.234,26.89,0.767,1,2,0.384,1
0.224,0.643,0.498,4.582,33.25,0.601,0,2,0.907,5
0.41,0.311,0.127,4.113,33.63,0.497,0,3,0.139,6
0.103,0.174,0.115,1.946,31.42,0.164,0,2,0.765,0
0.105,0.58,0.159,3.292,31.9,0.267,1,0,0.047,1
0.231,0.324,0.751,3.413,32.14,0.116,1,0,0.312,6
0.122,0.393,0.711,2.921,27.05,0.429,1,2,0.847,2
0.165,0.071,0.204,1.642,32.68,0.656,1,3,0.445,4
0.303,0.255,0.847,1.85,30.78,0.015,0,1,0.703,0
0.582,0.614,0.281,2.121,32.03,0.083,0,4,0.104,1
0.443,0.387,0.793,0.848,31.63,0.183,1,2,0.683,1
0.408,0.23,0.489,5.11,33.63,0.571,0,2,0.819,6
0.276,0.41,0.732,4.025,29.19,0.715,1,4,0.805,1
0.659,0.593,0.381,4.041,29.74,0.602,0,1,0.439,3
0.338,0.185,0.347,3.49,29.92,0.42,0,2,0.904,4
0.152,0.333,0.841,4.04,33.62,0.084,1,2,0.575,1
0.47,0.624,0.035,5.415,30.31,0.604,1,1,0.818,1
0.168,0.12,0.975,2.61,27.77,0.085,1,4,0.213,1
0.307,0.471,0.648,4.149,35.83,0.278,1,0,0.21,5
0.404,0.403,0.432,2.49,30.93,0.246,1,2,0.754,4
0.625,0.445,0.628,4.815,27.09,0.287,0,2,0.647,1
0.396,0.235,0.123,4.833,32.7,0.264,0,3,0.676,0
0.521,0.211,0.514,5.041,33.39,0.615,0,1,0.237,5
0.696,0.448,0.985,0.826,31.0,0.137,1,2,0.4,6
0.179,0.148,0.235,2.201,32.46,0.677,1,3,0.258,3
0.265,0.279,0.722,1.429,27.73,0.687,1,0,0.068,3
0.337,0.13,0.435,2.934,29.68,0.393,0,1,0.204,1
0.353,0.015,0.652,3.129,27.62,0.085,0,0,0.995,4
0.347,0.631,0.205,2.003,29.87,0.46,1,3,0.234,4
0.645,0.286,0.47,4.2,31.63,0.657,1,4,0.159,2
0.528,0.63,0.98,2.068,30.43,0.232,0,1,0.697,2
0.465,0.1,0.195,4.813,31.93,0.67,1,4,0.602,0
0.286,0.386,0.636,1.635,31.02,0.542,1,3,0.746,0
0.594,0.139,0.576,2.526,29.18,0.79,0,1,0.654,5
0.673,0.516,0.565,3.725,27.43,0.66,1,2,0.223,4
0.593,0.512,0.615,3.645,28.53,0.161,1,3,0.501,0
0.101,0.082,0.502,1.167,28.01,0.359,1,3,0.177,2
0.482,0.594,0.017,4.777,33.07,0.083,1,0,0.254,4
0.131,0.135,0.9,3.611,34.2,0.056,1,4,0.987,2
0.255,0.402,0.827,4.888,33.2,0.565,0,1,0.729,1
0.136,0.641,0.174,4.878,32.44,0.73,0,1,0.783,6
0.462,0.575,0.413,3.366,29.08,0.779,1,2,0.03,5
0.512,0.622,0.771,5.081,33.11,0.216,1,1,0.382,6
0.169,0.229,0.98,4.788,32.05,0.161,0,2,0.555,6
0.33,0.078,0.951,5.303,26.47,0.448,0,1,0.15,1
0.374,0.131,0.899,4.797,35.08,0.161,1,0,0.849,0
0.321,0.33,0.158,4.66,26.8,0.237,1,3,0.14,2
0.173,0.518,0.914,3.006,31.03,0.67,0,1,0.637,4
0.351,0.106,0.878,1.797,31.13,0.648,1,3,0.553,4
0.551,0.432,0.377,5.08,34.37,0.716,1,4,0.849,0
0.143,0.217,0.395,4.196,35.13,0.386,0,3,0.312,5
0.148,0.228,0.46,2.124,35.4,0.451,1,4,0.284,2
0.313,0.434,0.656,2.403,31.7,0.616,0,1,0.846,6
0.665,0.309,0.261,4.025,32.79,0.191,0,0,0.221,0
0.501,0.53,0.023,3.046,26.89,0.658,1,0,0.746,6
0.507,0.11,0.141,1.183,30.88,0.014,0,3,0.191,4
0.317,0.516,0.44,1.465,34.98,0.638,1,0,0.876,1
0.456,0.051,0.282,4.305,30.56,0.621,0,4,0.839,5
0.106,0.134,0.765,2.344,26.7,0.241,1,0,0.787,2
0.482,0.43,0.107,3.186,28.01,0.582,0,0,0.491,0
0.648,0.557,0.917,4.403,30.3,0.171,0,0,0.034,1
0.468,0.172,0.895,4.331,28.38,0.461,1,2,0.132,3
0.624,0.219,0.909,1.585,29.92,0.56,0,2,0.457,2
0.534,0.354,0.74,1.262,29.33,0.572,1,3,0.044,4
0.172,0.145,0.107,3.578,29.19,0.786,0,1,0.063,4
0.641,0.529,0.438,4.286,26.91,0.146,1,1,0.126,3
0.14,0.505,0.131,1.5,34.83,0.385,0,4,0.261,2
0.42,0.103,0.988,2.548,32.93,0.704,1,4,0.749,0
0.185,0.307,0.333,4.89,32.23,0.449,0,3,0.048,2
0.107,0.506,0.585,5.238,32.06,0.701,1,2,0.984,2
0.353,0.226,0.779,2.934,29.97,0.347,0,0,0.274,5
0.277,0.415,0.921,1.174,34.23,0.636,1,2,0.32,5
0.392,0.042,0.756,2.011,35.3,0.696,1,2,0.248,3
0.446,0.4,0.675,1.895,26.06,0.677,0,3,0.602,6
0.126,0.108,0.466,1.923,26.79,0.697,1,2,0.019,4
0.174,0.542,0.605,3.121,32.75,0.176,0,1,0.094,1
0.435,0.237,0.094,3.541,28.36,0.351,1,2,0.099,4
0.306,0.19,0.884,1.376,35.12,0.14,1,1,0.665,2
0.538,0.548,0.544,4.98,32.67,0.144,1,4,0.33,6
0.491,0.042,0.04,3.714,29.68,0.39,1,4,0.437,4
0.607,0.264,0.92,3.607,30.15,0.768,0,3,0.95,3
0.515,0.247,0.489,5.44,32.91,0.474,1,0,0.2,5
0.358,0.192,0.869,3.752,27.41,0.683,1,2,0.07,5
0.504,0.594,0.857,5.166,34.83,0.75,1,0,0.441,1
0.265,0.491,0.816,2.145,26.05,0.069,1,1,0.164,1
0.284,0.051,0.061,1.929,35.79,0.13,0,0,0.145,0
0.573,0.467,0.247,3.228,27.68,0.233,1,2,0.41,5
0.368,0.347,0.876,3.19,33.42,0.493,0,0,0.67,4
0.579,0.587,0.899,1.864,26.4,0.049,0,0,0.243,5
0.593,0.21,0.458,4.088,30.31,0.629,1,0,0.876,5
0.615,0.377,0.44,0.939,32.3,0.051,1,3,0.362,4
0.65,0.33,0.175,4.046,26.7,0.127,1,0,0.934,3
0.359,0.323,0.968,2.949,30.43,0.305,1,2,0.492,4
0.291,0.302,0.213,4.038,29.03,0.446,1,2,0.727,3
0.449,0.142,0.191,3.042,30.98,0.705,0,0,0.849,0
0.323,0.494,0.661,5.393,31.05,0.771,1,3,0.53,2
0.461,0.299,0.243,2.373,33.85,0.708,1,1,0.85,4
0.523,0.623,0.939,5.418,27.24,0.086,1,0,0.378,2
0.513,0.177,0.011,1.105,26.83,0.505,0,3,0.363,0
0.325,0.447,0.006,4.014,30.02,0.353,1,4,0.794,4
0.2,0.612,0.505,2.935,34.88,0.101,0,2,0.241,4
0.358,0.435,0.488,4.664,34.55,0.444,0,4,0.717,6
0.186,0.568,0.163,4.511,31.6,0.285,0,2,0.077,2
0.634,0.54,0.495,4.561,34.89,0.277,0,1,0.636,6
0.308,0.24,0.412,1.245,34.05,0.076,0,3,0.942,0
0.193,0.394,0.89,4.665,28.78,0.783,0,1,0.456,0
0.115,0.11,0.009,1.806,27.7,0.581,1,4,0.416,2
0.487,0.353,0.976,0.921,29.01,0.224,1,3,0.541,2
0.482,0.157,0.624,1.823,28.27,0.734,0,4,0.72,4
0.304,0.486,0.152,3.053,32.23,0.758,1,0,0.359,5
0.143,0.348,0.047,4.288,31.85,0.648,1,4,0.0,6
0.346,0.273,0.538,1.828,31.98,0.527,1,1,0.502,0
0.287,0.182,0.235,1.331,27.89,0.301,0,1,0.419,5
0.506,0.649,0.301,3.836,33.92,0.347,1,0,0.533,1
0.463,0.056,0.245,5.424,30.34,0.364,0,3,0.715,6
0.319,0.038,0.65,3.624,30.72,0.759,0,4,0.283,0
0.231,0.149,0.554,4.048,35.97,0.608,1,4,0.505,4
0.693,0.631,0.078,3.437,28.82,0.234,0,4,0.253,2
0.372,0.637,0.527,4.477,29.94,0.5,1,3,0.459,6
0.513,0.429,0.791,5.386,32.76,0.475,1,1,0.345,4
0.184,0.573,0.081,3.357,34.8,0.65,1,0,0.369,1
0.391,0.147,0.89,2.759,27.27,0.076,0,3,0.579,6
0.117,0.632,0.578,4.844,33.35,0.561,0,0,0.69,0
0.403,0.101,0.951,5.358,35.18,0.265,1,2,0.013,5
0.678,0.075,0.148,1.407,30.23,0.104,0,0,0.877,1
0.331,0.082,0.994,3.517,28.87,0.585,1,2,0.364,5
0.123,0.377,0.644,4.525,32.78,0.265,1,0,0.644,5
0.119,0.51,0.567,3.307,28.46,0.584,1,2,0.122,5
0.333,0.245,0.515,2.723,29.84,0.13,0,4,0.571,0
0.196,0.636,0.024,3.88,34.97,0.789,1,3,0.678,4
0.114,0.288,0.94,2.07,31.9,0.643,0,4,0.157,1
0.554,0.106,0.644,2.441,26.95,0.231,1,1,0.912,4
0.375,0.308,0.092,5.464,29.3,0.592,1,3,0.757,4
0.274,0.445,0.021,3.791,32.27,0.109,1,4,0.534,4
0.64,0.543,0.051,4.903,30.81,0.523,1,0,0.166,6
0.17,0.304,0.609,4.597,32.6,0.048,1,3,0.866,5
0.674,0.39,0.614,3.866,33.61,0.267,1,0,0.069,1
0.288,0.181,0.5,4.751,30.81,0.783,1,4,0.115,0
0.633,0.423,0.307,2.15,35.87,0.097,0,3,0.698,4
0.462,0.641,0.532,3.794,35.15,0.478,1,4,0.254,4
0.596,0.041,0.516,3.576,26.6,0.056,1,1,0.459,6
0.69,0.577,0.019,3.725,28.66,0.536,1,4,0.539,2
0.273,0.37,0.282,1.593,29.01,0.223,1,1,0.458,5
0.677,0.171,0.053,2.103,27.84,0.248,1,4,0.084,5
0.334,0.621,0.9,2.147,29.12,0.27,1,3,0.737,6
0.331,0.319,0.725,3.629,30.25,0.164,1,0,0.24,2
0.304,0.222,0.996,5.371,26.52,0.753,1,3,0.739,6
0.425,0.126,0.302,5.284,27.27,0.725,0,4,0.865,1
0.192,0.166,0.878,1.868,26.96,0.696,1,4,0.536,5
0.432,0.543,0.603,2.233,26.46,0.085,0,4,0.706,5
0.425,0.403,0.453,0.969,30.81,0.187,0,2,0.037,3
0.557,0.594,0.223,2.674,29.34,0.49,0,1,0.037,4
0.6,0.158,0.738,4.723,35.35,0.776,0,0,0.197,1
0.364,0.088,0.904,5.104,27.03,0.484,1,1,0.358,0
0.281,0.014,0.235,1.912,35.26,0.262,1,4,0.183,5
0.256,0.335,0.175,2.049,26.87,0.654,0,4,0.635,5
0.217,0.649,0.696,1.838,32.19,0.108,1,1,0.277,1
0.135,0.455,0.977,2.445,28.48,0.705,0,1,0.846,4
0.305,0.207,0.75,4.582,34.27,0.78,0,1,0.561,6
0.262,0.571,0.285,3.84,26.61,0.774,0,2,0.378,0
0.68,0.51,0.42,4.494,35.53,0.118,0,1,0.893,5
0.435,0.02,0.384,3.54,26.47,0.44,0,4,0.828,2
0.308,0.533,0.852,2.011,28.41,0.468,1,0,0.82,4
0.448,0.202,0.771,1.872,30.64,0.156,0,3,0.728,2
0.184,0.106,0.589,0.842,33.56,0.437,1,1,0.614,4
0.366,0.155,0.275,4.471,35.51,0.517,0,1,0.367,6
0.476,0.31,0.938,4.781,30.28,0.263,0,1,0.423,5
0.393,0.282,0.653,4.411,33.57,0.253,0,0,0.647,0
0.341,0.195,0.97,1.15,33.27,0.048,1,1,0.173,4
0.696,0.12,0.58,4.382,31.71,0.765,1,1,0.828,4
0.628,0.498,0.821,1.015,32.91,0.643,1,1,0.939,6
0.474,0.644,0.813,1.296,26.38,0.608,0,0,0.098,1
0.442,0.508,0.337,2.87,30.42,0.017,1,3,0.022,3
0.472,0.199,0.964,3.038,33.86,0.499,0,4,0.143,1
0.221,0.167,0.022,4.636,30.74,0.145,1,0,0.76,3
0.337,0.149,0.769,3.994,34.74,0.529,0,1,0.108,3
0.124,0.097,0.966,1.521,34.34,0.497,1,2,0.372,5
0.385,0.363,0.339,1.863,34.63,0.682,0,0,0.063,0
0.426,0.397,0.648,2.143,27.3,0.204,1,1,0.433,4
